Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
3400 ; 1000 ; 627 ; 307 ; 5384 ; 24000
3400 ; 1000 ; 612 ; 304 ; 5248 ; 24000
3000 ; 1000 ; 621 ; 274 ; 4986 ; 24000
3400 ; 1000 ; 630 ; 308 ; 5276 ; 24000
3000 ; 1000 ; 628 ; 299 ; 5096 ; 24000
3400 ; 1000 ; 603 ; 305 ; 5163 ; 24000
3000 ; 1000 ; 590 ; 309 ; 5022 ; 24000
3400 ; 1000 ; 626 ; 316 ; 5358 ; 24000
3000 ; 1000 ; 589 ; 297 ; 4902 ; 24000
3400 ; 1000 ; 643 ; 322 ; 5360 ; 24000
3000 ; 1000 ; 601 ; 303 ; 4971 ; 24000
3000 ; 1000 ; 604 ; 313 ; 4971 ; 24000
3000 ; 1000 ; 607 ; 298 ; 5250 ; 24000
3000 ; 1000 ; 602 ; 304 ; 4978 ; 24000
3000 ; 1000 ; 654 ; 298 ; 5281 ; 24000
3000 ; 1000 ; 608 ; 303 ; 5060 ; 24000
3000 ; 1000 ; 616 ; 297 ; 5155 ; 24000
3000 ; 1000 ; 647 ; 294 ; 5112 ; 24000
3000 ; 1000 ; 589 ; 306 ; 5061 ; 24000
3000 ; 1000 ; 628 ; 303 ; 5095 ; 24000
3000 ; 1000 ; 631 ; 305 ; 5225 ; 24000
3600 ; 1000 ; 647 ; 279 ; 5654 ; 24000
3000 ; 1000 ; 608 ; 280 ; 5172 ; 24000
3600 ; 1000 ; 646 ; 315 ; 5621 ; 24000
3000 ; 1000 ; 641 ; 306 ; 5280 ; 24000
3600 ; 1000 ; 651 ; 297 ; 5665 ; 24000
3000 ; 1000 ; 632 ; 306 ; 5300 ; 24000
3600 ; 1000 ; 635 ; 301 ; 5670 ; 24000
3000 ; 1000 ; 649 ; 308 ; 5327 ; 24000
3600 ; 1000 ; 633 ; 320 ; 5615 ; 24000
3000 ; 1000 ; 615 ; 315 ; 5249 ; 24000
